index,Rank,Game Title,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Review
225,226,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.36,0.98,0,0.72,4.07,86.45
226,227,God of War II,PS2,2007,Action,Capcom,2.32,1.3,0.04,0.41,4.07,92.79
227,228,FIFA Soccer 12,X360,2011,Sports,Electronic Arts,0.79,2.74,0.02,0.51,4.06,84
228,229,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,88.49
229,230,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,70
230,231,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85.75
231,232,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,89
232,233,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,2.69,0.86,0.09,0.37,4.02,92.85
233,234,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,71
234,235,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.31,1.25,0.03,0.4,3.99,88
235,236,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.42,0,0,3.99,91.01
236,237,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,2.41,1.58,0,0,3.99,85
237,238,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98,68
238,239,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.49,0.96,0.13,0.37,3.95,94
239,240,Professor Layton and the Diabolical Box,DS,2007,Adventure,Nintendo,0.8,1.83,0.92,0.38,3.94,88
240,241,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,1.76,1.68,0.05,0.42,3.92,90.66
241,242,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.03,1.42,0.05,0.41,3.92,59.23
242,243,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91,76
243,244,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.06,1.41,0.03,0.4,3.91,79.21
244,245,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9,88
245,246,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.19,1.21,0,0.48,3.89,91
246,247,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,89.32
247,248,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87,87
248,249,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,90.83
249,250,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84,75
250,251,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.05,1.32,0.06,0.4,3.84,83.25
251,252,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.27,1.79,0.07,0.7,3.83,80.05
252,253,The Legend of Zelda: Link's Awakening,GB,1992,Adventure,Nintendo,2.21,0.96,0.54,0.13,3.83,89
253,254,RollerCoaster Tycoon,PC,,Strategy,Unknown,3.82,0.01,0,0,3.83,87
254,255,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.85,1.54,1.05,0.35,3.79,61
255,256,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,85
256,257,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.5,1.55,0.06,0.65,3.77,82.74
257,258,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76,80.26
258,259,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73,62
259,260,StarCraft,PC,1998,Strategy,Activision,3.71,0.01,0,0,3.73,93
260,261,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.03,1.87,0.41,0.42,3.72,70.26
261,262,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.17,0.47,0.81,0.27,3.72,90
262,263,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72,88.21
263,264,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71,88
264,265,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,1.95,1.16,0.05,0.54,3.71,96.09
265,266,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,84
266,267,Pokemon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7,78
267,268,Tomodachi Collection,DS,2009,Misc,Nintendo,0,0,3.67,0,3.67,76
268,269,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67,89
269,270,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,92.38
270,271,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,83.4
271,272,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.2,1.07,0.03,0.35,3.65,93.88
272,273,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.37,1.34,0.1,0.84,3.64,86
273,274,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64,90.22
274,275,The Legend of Zelda: Skyward Sword,Wii,2011,Adventure,Nintendo,1.85,1.09,0.36,0.33,3.63,93.25
275,276,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63,78
276,277,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,2.33,0.64,0.6,3.63,81
277,278,LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,Activision,2.31,0.97,0,0.35,3.62,80
278,279,Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62,95.77
279,280,MySims,DS,2007,Simulation,Electronic Arts,1.57,1.57,0.08,0.4,3.62,85
280,281,Star Wars Battlefront,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61,87
281,282,Doom II,PC,1994,Shooter,GT Interactive,2.05,1.4,0,0.16,3.61,88
282,283,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61,69.04
283,284,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,79.43
284,285,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.41,0.79,0.05,0.35,3.6,89.05
285,286,Star Wars Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59,89
286,287,WWF SmackDown!,PS,2000,Fighting,Unknown,2.01,1.35,0.06,0.16,3.58,81
287,288,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.62,1.19,0,0.77,3.58,74.5
288,289,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.3,0.93,0,0.34,3.57,82
289,290,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,78.03
290,291,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,73
291,292,Tomb Raider III: Adventures of Lara Croft,PS,1997,Adventure,Eidos Interactive,1.66,1.58,0.12,0.18,3.54,78.01
292,293,Super Paper Mario,Wii,2007,Platform,Nintendo,1.85,0.79,0.59,0.31,3.53,86
293,294,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53,75.18
294,295,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53,84
295,296,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.56,2.41,0.05,0.51,3.53,86
296,297,Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52,66
297,298,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52,89
298,299,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,87
299,300,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.55,1.46,0.1,0.39,3.51,70.92
300,301,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,76
301,302,FIFA Soccer 2004,PS2,,Sports,Unknown,0.59,2.36,0.04,0.51,3.49,81
302,303,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,1.39,0,0.16,3.49,62.78
303,304,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,1.94,0.97,0.1,0.48,3.49,80
304,305,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.67,2.35,0.02,0.44,3.48,86
305,306,Diablo,PC,1996,Role-Playing,Activision,1.7,1.58,0,0.17,3.46,89
306,307,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.08,1,0.01,0.35,3.44,74
307,308,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44,81.35
308,309,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.05,1.75,0.26,0.37,3.43,75
309,310,Grand Theft Auto 2,PS,1998,Adventure,Take-Two Interactive,1.13,2.07,0,0.22,3.42,75
310,311,Final Fantasy III,SNES,1994,Role-Playing,Square,0.86,0,2.55,0.02,3.42,90
311,312,Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41,80.97
312,313,F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,66
313,314,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,81
314,315,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,71.27
315,316,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.1,0.91,0.04,0.32,3.36,83.84
316,317,The Legend of Zelda: Majora's Mask,N64,2000,Adventure,Nintendo,1.9,0.67,0.73,0.06,3.36,90
317,318,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,2.47,0.76,0,0.13,3.36,80.46
318,319,Clubhouse Games,DS,2006,Misc,Nintendo,0.58,1.71,0.73,0.34,3.35,82.98
319,320,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,1.63,1.53,0,0.18,3.34,70
320,321,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33,85
321,322,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Nintendo,1.19,1.51,0.27,0.36,3.33,76
322,323,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33,82.29
323,324,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33,90
324,325,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,79
325,326,Max Payne,PS2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,79.81
326,327,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,1.98,0.96,0.04,0.32,3.3,89.03
327,328,Resident Evil 5,X360,2009,Action,Capcom,1.97,0.88,0.12,0.33,3.3,86.32
328,329,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.71,1.15,0,0.43,3.29,91.45
329,330,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28,84.89
330,331,True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27,77.3
331,332,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.47,0.45,0.05,0.29,3.26,89.44
332,333,Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,77
333,334,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21,62.9
334,335,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2,86
335,336,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,39
336,337,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2,85
337,338,Wii Music,Wii,2008,Misc,Nintendo,1.33,1.09,0.46,0.31,3.19,64.34
338,339,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0,0,3.19,0,3.19,89
339,340,Enter the Matrix,PS2,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18,71
340,341,The Sims 2,PC,2004,Simulation,Electronic Arts,3.09,0.08,0,0,3.17,90.89
341,342,The Legend of Zelda: Spirit Tracks,DS,2009,Adventure,Nintendo,1.35,0.83,0.74,0.26,3.17,87.05
342,343,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Namco Bandai Games,2.06,0.56,0.38,0.17,3.17,85.92
343,344,Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,86.36
344,345,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,1.65,0.97,0.07,0.46,3.14,90.6
345,346,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,1.93,0,0.53,3.14,81
346,347,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.16,0.66,0.03,0.28,3.13,85.96
347,348,Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13,86.45
348,349,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12,84
349,350,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12,84
350,351,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0,3.03,0.01,3.12,88
351,352,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.44,0.97,0.04,0.64,3.09,91.06
352,353,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09,76
353,354,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.87,1.01,1.03,0.17,3.09,78
354,355,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08,86
355,356,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,90
356,357,Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07,84
357,358,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0,0.14,3.07,77.3
358,359,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.3,0.55,0.8,0.41,3.07,81.81
359,360,Professor Layton and the Unwound Future,DS,2008,Adventure,Level 5,0.52,1.45,0.82,0.28,3.07,90
360,361,Diablo III,PC,2012,Role-Playing,Activision,1.56,1.09,0,0.4,3.05,87.64
361,362,Sonic Rush,DS,2005,Platform,Sega,1.16,1.53,0.06,0.28,3.04,84
362,363,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03,79
363,364,The Sims 3,PC,2009,Simulation,Electronic Arts,0,2.68,0,0.35,3.03,86.61
364,365,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02,92.59
365,366,Rhythm Heaven,DS,2008,Misc,Nintendo,0.48,0.48,1.93,0.13,3.02,83
366,367,The Legend of Zelda: Ocarina of Time,3DS,2011,Adventure,Nintendo,1.45,0.79,0.57,0.21,3.02,93
367,368,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02,89
368,369,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02,86
369,370,Kung Fu Panda,X360,2008,Platform,Activision,1.9,0.82,0,0.29,3.01,68
370,371,LEGO Batman: The Videogame,X360,2008,Adventure,Activision,1.79,0.92,0,0.3,3.01,76
371,372,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0.87,0.76,0.22,3,73.57
372,373,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,1.85,0.84,0.01,0.29,3,93.88
373,374,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.02,0,0.41,3,91
374,375,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99,86
375,376,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99,77.48
376,377,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99,90.54
377,378,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,92.6
378,379,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.92,0.75,0.03,0.28,2.97,95.69
379,380,Dance Central,X360,2010,Misc,MTV Games,1.95,0.72,0.01,0.28,2.96,86.55
380,381,Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96,70.6
381,382,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,85.02
382,383,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.16,0.91,0.67,0.2,2.94,77
383,384,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,90.67
384,385,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94,86.99
385,386,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94,91
386,387,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94,80
387,388,Gran Turismo,PSP,2009,Racing,Sony Computer Entertainment,0.43,1.4,0.31,0.78,2.92,74.54
388,389,Yoshi's Island: Super Mario Advance 3,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91,91
389,390,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,0.22,2.9,75.68
390,391,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,92.97
391,392,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89,82
392,393,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.35,1,0.08,0.45,2.89,90.56
393,394,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,77.18
394,395,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88,87
395,396,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.57,0.84,0.06,0.41,2.87,91
396,397,Colin McRae Rally,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87,88.82
397,398,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.51,0.01,1.19,0.15,2.86,79.5
398,399,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86,87
399,400,Disney Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,1.91,0.58,0.12,0.25,2.86,72.53
400,401,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.29,1.25,0,0.31,2.85,62
401,402,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,73
402,403,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,83
403,404,Doom,PC,1992,Shooter,id Software,1.61,1.12,0,0.13,2.85,80.16
404,405,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85,91
405,406,Sega Superstars Tennis,X360,2008,Sports,Sega,1.73,0.84,0,0.28,2.85,69.08
406,407,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.38,1.1,0.05,0.3,2.84,62.81
407,408,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.84,1.01,0.73,0.25,2.84,81.82
408,409,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83,86
409,410,LEGO Batman: The Videogame,DS,2008,Adventure,Warner Bros. Interactive Entertainment,1.63,0.91,0,0.28,2.83,81
410,411,Diablo II,PC,2000,Role-Playing,Havas Interactive,2.78,0.05,0,0,2.82,88.58
411,412,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,96.35
412,413,Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82,59
413,414,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,90
414,415,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,0.89,1.46,0,0.44,2.8,91
415,416,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.31,1.18,0,0.3,2.79,56
416,417,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79,84
417,418,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79,51.9
418,419,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79,78
419,420,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79,85
420,421,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.5,0.77,0.14,0.38,2.79,91
421,422,NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79,88
422,423,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.48,0.09,0,0.22,2.79,81
423,424,Jak II,PS2,2003,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78,90
424,425,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,91
425,426,The Sims,PS2,2003,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77,81.07
426,427,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.23,1.03,0.08,0.42,2.76,85.62
427,428,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.74,0.72,0.03,0.26,2.75,91.24
428,429,Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,80
429,430,Saints Row 2,X360,2008,Action,THQ,1.72,0.74,0.02,0.27,2.75,86
430,431,Pokemon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73,80
431,432,Metroid,NES,1986,Adventure,Nintendo,1.33,0.31,1.04,0.05,2.73,72
432,433,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.11,1.06,0.11,0.45,2.73,86
433,434,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,2.7,0.02,0,0,2.72,91.81
434,435,LEGO Batman: The Videogame,Wii,,Adventure,Warner Bros. Interactive Entertainment,1.59,0.86,0,0.27,2.72,80
435,436,The Legend of Zelda: A Link to the Past,GBA,2002,Adventure,Nintendo,1.75,0.52,0.33,0.1,2.7,92
436,437,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,85
437,438,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7,82
438,439,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.73,0.69,0.03,0.25,2.7,92.17
439,440,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,86
440,441,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.41,0.04,1.1,0.14,2.69,86
441,442,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68,93.32
442,443,Mortal Kombat,GEN,1992,Fighting,Acclaim Entertainment,1.95,0.63,0,0.09,2.67,83
443,444,Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67,78.45
444,445,Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67,87.31
445,446,Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09,2.66,85.36
446,447,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,1.15,1.11,0,0.4,2.65,88.13
447,448,Super Mario Bros. 2 (FDS),NES,1986,Platform,Nintendo,0,0,2.65,0,2.65,79
448,449,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,2.65,79
449,450,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.64,45
450,451,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.32,0.11,0,0.21,2.64,71
